denmark,13.667597765363128
united states of america,13.411208539839878
belgium,9.048913043478262
norway,8.527439024390244
sweden,7.870658682634731
italy,7.056326530612245
canada,7.041088580576307
germany,7.0003401360544215
singapore,6.956554307116105
india,6.5816993464052285
hong kong,6.345486111111111
united kingdom,6.321896444167186
australia,5.986344537815126
south korea,5.581312993734677
netherlands,5.578804347826087
france,5.388974755280783
finland,5.377497371188223
greece,5.31981981981982
iran,5.2785714285714285
china,4.7810169491525425
taiwan,4.7685393258426965
spain,4.2105704697986575
japan,3.6315789473684212
portugal,3.3527696793002915
brazil,2.8151898734177214
