switzerland,26.458333333333332
united states of america,14.433230114186182
indonesia,12.467576791808874
denmark,11.60806916426513
belgium,9.092872570194384
norway,8.414239482200648
sweden,8.178851174934726
austria,7.681372549019608
italy,7.623325892857143
germany,7.294308943089431
canada,7.202061211742661
ireland,7.198630136986301
singapore,7.0246343341031565
hong kong,6.7321899736147754
india,6.609195402298851
turkey,6.529227259766182
egypt,6.508928571428571
united kingdom,6.328195829555757
australia,6.168855534709193
netherlands,5.938271604938271
